HIP	RAhms	DEdms	Vmag	Plx	ABSmag	Pc	Ly	X	Y	Z
62790	12 51 58.87	-24 42 25.7	8.56	2.4	0.46105620855803053	416.66666666666674	1358.999166666667	-368.82881210816146	-85.11904772367092	-174.1584513729067
62791	12 52 01.35	+31 46 28.0	9.0	4.5	2.266062568876718	222.2222222222223	724.7995555555559	-184.07110540561789	-42.515251679682365	117.01708242282378
62792	12 52 01.58	+20 10 11.4	8.43	7.42	2.7820195263951337	134.77088948787068	439.56846361186007	-123.26042706555049	-28.471795493016362	46.469523715805494
62793	12 52 01.71	-73 55 16.1	7.65	3.15	0.14155276894800295	317.4603174603175	1035.4279365079367	-85.66788664033618	-19.789188643855862	-305.0417256268427
62794	12 52 02.26	+25 27 24.2	9.91	25.14	6.911826366749695	39.777247414478914	129.7373906125696	-34.99345003154259	-8.084934947030108	17.09741774844648
62795	12 52 04.05	-08 31 24.9	9.17	6.23	3.142440233295849	160.51364365971102	523.5309791332262	-154.66172213129528	-35.75444001859722	-23.79078660438169
62796	12 52 04.40	-28 43 48.7	8.25	4.38	1.4573705525204979	228.3105022831049	744.6570776255704	-195.05824314789223	-45.098506194637395	-109.74557837030915
62797	12 52 05.13	-50 21 50.6	8.87	0.75	-1.7546936830415003	1333.3333333333333	4348.797333333333	-828.6723726265392	-191.63964613551846	-1026.8174728998008
62798	12 52 05.36	+28 07 45.6	8.8	1.94	0.23900864965113122	515.4639175257732	1681.236082474227	-442.8894306706254	-102.43099093717494	243.02241577042818
62799	12 52 05.47	-48 05 39.5	6.31	6.81	0.4757355595639252	146.84287812041117	478.94243759177687	-95.55483492599913	-22.100620516060157	-109.28708500896198
62800	12 52 07.49	-26 27 40.1	8.32	15.22	4.23207326217277	65.7030223390276	214.29684625492774	-57.30499468556603	-13.262794989686721	-29.276663020767074
62801	12 52 08.22	-68 54 01.0	9.05	7.1	3.306291743595377	140.84507042253514	459.3799999999998	-49.39676847901183	-11.43525359125821	-131.4021617077261
62802	12 52 08.47	+42 39 13.1	8.65	6.89	2.841096109538128	145.13788098693763	473.3814223512338	-103.9929188743564	-24.07614169467875	98.34031077064863
62803	12 52 09.53	-51 56 40.3	7.95	1.92	-0.633493856482251	520.8333333333333	1698.7489583333331	-312.7755699211475	-72.43827374206083	-410.1115707571327
62804	12 52 11.54	-38 59 40.9	9.37	7.98	3.8800144567536474	125.31328320801998	408.72155388471157	-94.87939594884497	-21.98853889588017	-78.85317577612261
62806	12 52 11.60	-54 51 47.9	9.04	5.2	2.6200167181739946	192.30769230769238	627.2303846153849	-107.8209315941608	-24.988279830307544	-157.26563865638173
62805	12 52 11.62	+25 22 24.7	8.87	12.48	4.351072926732025	80.12820512820514	261.3459935897436	-70.52915493934637	-16.34574540331557	34.33633888199762
62808	12 52 12.19	-00 55 44.4	7.74	1.71	-1.0950194480392312	584.7953216374272	1907.3672514619893	-569.6153213481224	-132.0380808956516	-9.481512953663062
62807	12 52 12.26	+17 04 26.2	6.32	1.78	-2.427899988455529	561.7977528089887	1832.358426966292	-523.1652886889706	-121.2734614841214	164.94709246262846
62809	12 52 12.37	-56 34 26.1	8.48	22.09	5.200978579357175	45.26935264825714	147.6504300588502	-24.292921244840397	-5.631489105314909	-37.78167011979443
62810	12 52 12.63	-06 05 24.4	7.95	8.72	2.6525824246628362	114.67889908256883	374.03646788990835	-111.08545521529872	-25.753571148515345	-12.166556928655993
62812	12 52 15.51	+48 21 42.7	9.09	7.2	3.376662482156343	138.88888888888886	452.99972222222215	-89.89246705128264	-20.860104451679423	103.79944058851764
62813	12 52 16.30	-35 56 09.1	9.01	2.19	0.7122205742005914	456.6210045662099	1489.314155251141	-360.1397636424875	-83.59453396462905	-267.9814291062431
62815	12 52 17.50	+32 33 21.3	10.74	4.59	4.0490634276863045	217.8649237472768	710.5877995642705	-178.87194572848244	-41.535617325662336	117.2379824292866
62816	12 52 18.67	+46 46 39.7	8.48	18.78	4.848477939650461	53.24813631522896	173.67401490947816	-35.5201755602112	-8.2512867023102	38.80202851621625
62817	12 52 19.63	+26 29 26.3	9.33	7.8	3.7904730134524023	128.20512820512823	418.15358974358986	-111.76667911875421	-25.971460549201407	57.18607849643193
62818	12 52 21.20	+50 16 54.3	8.68	3.23	1.2260126116555146	309.5975232198142	1009.7826625386997	-192.69738346296663	-44.80078381469163	238.14120718590272
62820	12 52 22.80	-49 35 55.7	7.86	3.65	0.6714643222823726	273.9726027397261	893.5884931506852	-172.95384171073744	-40.231746046952914	-208.63691499706
62819	12 52 22.84	+17 06 30.5	6.93	8.21	1.5017157855972023	121.80267965895251	397.2713763702802	-113.38555042787445	-26.375529985691262	35.83212447292578
62821	12 52 24.61	-53 49 47.7	6.26	2.99	-1.361644058377852	334.4481605351171	1090.8354515050169	-192.2472298791419	-44.74628492872406	-269.98952697132023
62822	12 52 24.78	+28 50 22.4	8.81	2.14	0.4620688667459554	467.28971962616805	1524.1112149532705	-398.6758336722657	-92.79849455019101	225.4012003589264
62823	12 52 25.06	-58 44 48.7	8.39	0.94	-1.744360732001505	1063.8297872340422	3469.785106382978	-537.5628529999004	-125.13847535338502	-909.4505798927534
62825	12 52 27.52	+16 07 21.1	6.29	8.95	1.0491151765795594	111.73184357541898	364.42435754189944	-104.53784620482338	-24.354955671127325	31.02708033115605
62826	12 52 28.50	+49 21 09.8	10.06	3.11	2.5238019451341884	321.54340836012864	1048.745337620579	-203.98712184683905	-47.539673533173925	243.96597512942355
